
Query #1
c_name	o_orderdate	l_partkey	l_suppkey	l_quantity	l_extendedprice
68	7068	9569	wheat tomato goldenrod chiffon tan	249.93	975.06
68	175180	2732	blush blanched spring pale almond	632.86	1255.18
68	34980	7484	firebrick dark misty forest frosted	499.55	1914.98
68	94728	2256	papaya cornflower rosy turquoise smoke	378.98	1722.72
68	82758	5267	chartreuse dark dim tan linen	302.56	1740.75
68	102561	5072	mint black green spring orchid	524.93	1563.56
68	139247	1761	green puff sienna orchid saddle	559.02	1286.24
69	115209	7721	cornsilk peru snow cornflower blush	831.25	1224.20
69	104180	9201	saddle ivory peru lavender black	623.52	1184.18
69	137267	4807	drab goldenrod linen navy black	323.73	1304.26
69	37502	2509	puff sandy lavender khaki goldenrod	898.07	1439.50
69	92070	7089	wheat honeydew steel chiffon lime	386.18	1062.07
69	18504	1006	plum floral chiffon deep black	992.72	1422.50
70	64128	9141	forest lace green burlywood orchid	15.79	1092.12
70	196156	1195	firebrick cyan maroon rose honeydew	679.63	1252.15
70	179809	7361	blanched saddle gainsboro dodger cream	935.77	1888.80
70	45734	743	snow peru cornsilk olive tomato	729.82	1679.73
70	37131	2138	antique ivory floral cream papaya	280.09	1068.13
70	55655	3171	black cyan goldenrod thistle blush	304.77	1610.65
71	61931	1932	slate chartreuse light metallic firebrick	64.75	1892.93
71	65916	3435	thistle moccasin midnight chiffon indian	402.98	1881.91
71	34432	1942	smoke saddle deep light cream	641.02	1366.43
71	96645	9155	frosted lavender royal pale midnight	205.00	1641.64
71	103255	5766	bisque pink yellow rose brown	409.27	1258.25
71	195635	674	ghost mint tan cornsilk almond	644.75	1730.63
96	123076	613	magenta red chocolate pale goldenrod	549.04	1099.07
96	135390	5391	light misty moccasin honeydew rosy	439.41	1425.39
97	119477	1989	salmon papaya chartreuse forest honeydew	882.95	1496.47
97	49568	2073	papaya misty pink chiffon peach	676.46	1517.56
97	77699	5221	chocolate firebrick navy lime floral	268.67	1676.69
98	40216	217	tomato saddle snow red drab	95.55	1156.21
98	109743	7274	black cornsilk white sienna orchid	534.45	1752.74
98	44706	4707	green spring sky seashell peach	883.10	1650.70
98	167180	7181	misty green yellow dark pale	871.04	1247.18
99	87114	4639	puff royal sienna rose floral	914.34	1101.11
99	123766	3767	orange mint honeydew salmon navajo	953.64	1789.76
99	134082	1622	red white frosted blue magenta	747.18	1116.08
99	108338	849	dark violet navajo blush sienna	406.50	1346.33
100	62029	2030	seashell cyan blush blanched ghost	964.12	991.02
100	115979	8491	metallic smoke puff blanched lace	991.37	1994.97
100	46150	8655	white papaya aquamarine cornsilk burlywood	111.44	1096.15
100	38024	3031	drab navy magenta rosy cyan	765.01	962.02
100	53439	955	wheat midnight ghost almond cream	810.38	1392.43
101	118282	5816	salmon mint green ghost dark	414.71	1300.28
101	163334	883	blue aquamarine sandy tan khaki	768.99	1397.33
101	138418	5958	antique red violet peru smoke	113.01	1456.41
102	88914	3931	steel blanched deep cream drab	385.39	1902.91
102	169238	6787	cream navy sky navajo coral	556.79	1307.23
102	182321	4840	puff forest deep drab blanched	535.22	1403.32
102	61158	8677	royal ivory cyan frosted dim	194.89	1119.15
103	194658	2216	violet brown light black sky	822.10	1752.65
103	10426	2928	mint turquoise wheat linen lawn	576.85	1336.42
103	28431	8432	tomato saddle misty maroon ghost	889.59	1359.43
103	29022	4027	dim lime linen steel saddle	530.59	951.02
128	106828	9339	wheat red firebrick peru pale	855.06	1834.82
129	2867	5368	magenta cyan gainsboro puff bisque	603.78	1769.86
129	185164	5165	blanched slate beige chartreuse magenta	706.03	1249.16
129	39444	1948	floral papaya seashell spring light	689.35	1383.44
129	135137	164	violet moccasin blue khaki chartreuse	89.99	1172.13
129	31373	8883	papaya almond aquamarine navajo coral	658.51	1304.37
129	77050	4572	lemon almond green honeydew chiffon	59.31	1027.05
129	168569	3602	ghost wheat sky spring burnished	476.19	1637.56
130	128816	8817	grey lemon metallic bisque lawn	874.76	1844.81
130	1739	4240	honeydew cream sienna dodger deep	878.81	1640.73
130	11860	1861	grey cornflower lime forest peru	667.05	1771.86
130	115635	3169	cream aquamarine bisque cyan chartreuse	67.66	1650.63
130	69130	4143	tan honeydew blush brown khaki	768.39	1099.13
131	167505	22	green powder coral sandy navajo	399.30	1572.50
131	44255	9264	indian azure drab honeydew seashell	18.01	1199.25
131	189021	1540	mint blanched royal steel lemon	483.33	1110.02
132	140449	2964	forest tan indian cornflower ivory	387.82	1489.44
132	119053	9054	goldenrod ivory tan dim cornflower	864.52	1072.05
132	114419	4420	ivory cornflower hot saddle puff	111.76	1433.41
132	28082	5589	chartreuse red chiffon dark cornflower	700.27	1010.08
133	103432	5943	grey chocolate papaya purple sky	781.27	1435.43
133	176279	3831	spring dodger tan puff cream	259.17	1355.27
133	117350	4884	burnished firebrick coral brown magenta	291.61	1367.35
133	89855	7380	aquamarine almond plum green yellow	965.89	1844.85
134	641	642	lemon goldenrod burlywood orchid firebrick	934.55	1541.64
134	164645	9678	magenta dark bisque peach metallic	532.76	1709.64
134	188252	3289	snow rose lemon violet coral	684.49	1340.25
134	144002	4003	green maroon purple lemon smoke	907.14	1046.00
134	35172	5173	antique frosted misty medium rose	879.12	1107.17
134	133103	5617	cornflower blanched indian rosy orchid	964.39	1136.10
135	108205	8206	azure antique cornflower honeydew coral	809.01	1213.20
135	198344	5902	peru floral brown chocolate peach	166.89	1442.34
135	157510	5056	chartreuse coral honeydew brown seashell	980.93	1567.51
135	67005	9512	cyan almond puff dark hot	825.89	972.00
135	136248	1275	chartreuse moccasin dodger indian snow	560.20	1284.24
135	115000	2534	puff cornsilk burnished bisque purple	584.24	1015.00
160	14785	9788	brown drab violet salmon misty	178.27	1699.78
160	86382	8891	white hot lime misty peach	257.64	1368.38
160	20080	5085	indian burlywood honeydew beige cornsilk	148.70	1000.08
161	102810	341	antique red burlywood snow deep	579.39	1812.81
162	189288	4325	ghost maroon frosted rose magenta	118.24	1377.28
163	167545	5094	azure magenta indian frosted khaki	956.20	1612.54
163	120702	703	pale ghost black magenta turquoise	228.80	1722.70
163	36818	9322	khaki magenta medium pale seashell	425.08	1754.81
163	192642	5162	wheat cornflower dark ivory ghost	155.37	1734.64
163	126090	8603	peru lace cornsilk green antique	89.27	1116.09
163	190825	5864	orchid lace saddle cream powder	186.30	1915.82
164	91309	3819	orchid burnished cornflower bisque tomato	810.24	1300.30
164	18488	3491	antique dodger mint chartreuse lawn	891.70	1406.48
164	125509	3046	black blanched royal midnight gainsboro	499.06	1534.50
164	17526	28	tan almond violet blue burlywood	465.39	1443.52
164	147505	2534	moccasin deep peru coral light	16.81	1552.50
164	108896	8897	chartreuse drab blue navy smoke	84.74	1904.89
164	3037	5538	tan gainsboro navy blue cyan	580.08	940.03
165	33175	8182	azure purple grey moccasin floral	575.13	1108.17
165	161627	9176	saddle olive dark gainsboro goldenrod	181.34	1688.62
165	58520	6036	red lemon rose green black	579.92	1478.52
165	139190	4217	medium rose cornsilk gainsboro wheat	661.08	1229.19
165	155084	7600	midnight maroon puff plum wheat	588.95	1139.08
166	64888	9901	green lawn blanched tomato magenta	443.17	1852.88
166	166366	6367	white chocolate cornsilk saddle linen	66.32	1432.36
166	99652	2162	olive azure aquamarine metallic orange	984.09	1651.65
166	45027	7532	navajo blanched cornflower khaki aquamarine	235.01	972.02
167	101171	1172	sienna navy lawn goldenrod yellow	517.51	1172.17
167	171555	4073	linen powder khaki lime forest	346.48	1626.55
192	97017	2036	blanched chartreuse chocolate seashell brown	516.09	1014.01
192	161368	8917	chocolate metallic deep bisque ivory	332.03	1429.36
192	110252	5275	yellow cream sky bisque blue	643.83	1262.25
192	196400	3958	misty orchid dim magenta chiffon	269.43	1496.40
192	82915	7932	chocolate saddle indian red ghost	484.17	1897.91
192	141003	3518	indian ivory light blush turquoise	170.28	1044.00
193	92638	5148	indian brown red pale metallic	660.13	1630.63
193	153954	1500	misty olive plum lace gainsboro	925.49	2007.95
193	93878	6388	light magenta lemon dim peru	560.77	1871.87
194	2594	5095	lime ghost snow lawn tomato	827.86	1496.59
194	183523	6042	peach firebrick royal tan blue	231.21	1606.52
194	65994	3513	plum tan burlywood chiffon violet	838.43	1959.99
194	145146	5147	blue cornsilk chocolate navajo lace	721.63	1191.14
194	56176	1187	coral saddle peru thistle dim	809.63	1132.17
(200 rows)

Query #3
c_name	c_acctbal
Customer#000000003	7498.12
Customer#000000006	7638.57
Customer#000000009	8324.07
Customer#000000018	5494.43
Customer#000000024	9255.67
Customer#000000027	5679.84
Customer#000000030	9321.01
Customer#000000039	6264.31
Customer#000000042	8727.01
Customer#000000045	9983.38
Customer#000000063	9331.13
Customer#000000075	6684.10
Customer#000000078	7136.97
Customer#000000084	5174.71
Customer#000000087	6327.54
Customer#000000090	7354.23
Customer#000000096	6323.92
Customer#000000102	8462.17
Customer#000000105	9091.82
Customer#000000111	6505.26
Customer#000000123	5897.83
Customer#000000129	9127.27
Customer#000000135	8732.91
Customer#000000141	6706.14
Customer#000000144	6417.31
Customer#000000147	8071.40
Customer#000000153	5454.26
Customer#000000156	9302.95
Customer#000000162	6268.99
Customer#000000177	7457.50
Customer#000000186	8737.50
Customer#000000192	8239.96
Customer#000000210	7250.14
Customer#000000213	9987.71
Customer#000000219	9858.57
Customer#000000222	8893.76
Customer#000000225	8893.20
Customer#000000228	6868.12
Customer#000000234	8383.51
Customer#000000240	7139.68
Customer#000000246	9584.96
Customer#000000258	6022.27
Customer#000000261	7094.22
Customer#000000270	9192.50
Customer#000000279	9663.23
Customer#000000285	7276.72
Customer#000000288	5339.43
Customer#000000297	7096.32
Customer#000000300	8084.92
Customer#000000303	9339.57
Customer#000000309	8824.78
Customer#000000318	9149.98
Customer#000000321	7718.77
Customer#000000327	8762.16
Customer#000000330	8244.73
Customer#000000333	8018.89
Customer#000000336	9241.49
Customer#000000339	8438.07
Customer#000000342	7186.74
Customer#000000354	7095.95
Customer#000000357	8747.36
Customer#000000360	6542.83
Customer#000000375	5562.22
Customer#000000378	5718.05
Customer#000000381	9931.71
Customer#000000390	8862.18
Customer#000000399	7358.53
Customer#000000405	7519.14
Customer#000000408	6825.37
Customer#000000417	6187.73
Customer#000000426	7818.25
Customer#000000429	9247.21
Customer#000000432	5715.64
Customer#000000435	6217.46
Customer#000000441	9451.84
Customer#000000447	7665.98
Customer#000000450	5544.42
Customer#000000453	5678.18
Customer#000000456	8815.78
Customer#000000465	8432.74
Customer#000000468	9834.19
Customer#000000471	5716.90
Customer#000000474	9165.47
Customer#000000483	8877.20
Customer#000000486	7487.40
Customer#000000489	8255.83
Customer#000000492	8635.18
Customer#000000495	7997.81
Customer#000000507	5727.00
Customer#000000519	9074.45
Customer#000000522	6358.46
Customer#000000531	5342.82
Customer#000000534	6520.97
Customer#000000540	9195.77
Customer#000000543	6089.13
Customer#000000555	5486.52
Customer#000000564	6307.59
Customer#000000567	8475.17
Customer#000000570	8480.87
Customer#000000585	7820.26
Customer#000000591	6344.66
Customer#000000594	6518.42
Customer#000000603	8161.13
Customer#000000606	9676.98
Customer#000000612	7669.16
Customer#000000627	5826.68
Customer#000000642	5684.01
Customer#000000648	7029.24
Customer#000000657	8729.97
Customer#000000663	9698.21
Customer#000000669	6019.20
Customer#000000672	7778.95
Customer#000000675	5295.26
Customer#000000678	6302.93
Customer#000000684	8545.90
Customer#000000693	6577.21
Customer#000000711	9591.51
Customer#000000717	8510.94
Customer#000000720	5357.32
Customer#000000726	6253.81
Customer#000000729	8947.26
Customer#000000741	9195.41
Customer#000000753	8114.44
Customer#000000756	8116.99
Customer#000000765	5683.33
Customer#000000768	9618.84
Customer#000000771	7461.74
Customer#000000777	9097.52
Customer#000000780	9874.12
Customer#000000789	6038.60
Customer#000000795	8443.18
Customer#000000801	5207.32
Customer#000000810	9632.77
Customer#000000813	5673.47
Customer#000000816	9239.32
Customer#000000828	7059.68
Customer#000000840	6799.00
Customer#000000846	7650.73
Customer#000000849	9670.64
Customer#000000864	8932.76
Customer#000000867	5680.23
Customer#000000888	6358.04
Customer#000000891	6032.18
Customer#000000909	5565.58
Customer#000000933	8541.16
Customer#000000939	8059.51
Customer#000000942	5898.17
Customer#000000945	9615.39
Customer#000000951	7499.47
Customer#000000954	5740.00
Customer#000000957	9076.68
Customer#000000969	8601.63
Customer#000000987	9850.64
Customer#000000990	6988.49
Customer#000000993	8421.87
Customer#000000996	6450.78
Customer#000001005	7790.94
Customer#000001008	8191.74
Customer#000001020	6914.87
Customer#000001023	7188.35
Customer#000001026	9699.28
Customer#000001029	6252.18
Customer#000001035	7499.36
Customer#000001041	7993.98
Customer#000001044	7291.30
Customer#000001047	8918.99
Customer#000001056	6287.12
Customer#000001077	8581.78
Customer#000001086	9726.83
Customer#000001095	6221.26
Customer#000001107	7961.62
Customer#000001113	7392.30
Customer#000001125	8427.55
Customer#000001128	8123.99
Customer#000001131	6019.10
Customer#000001134	8458.26
Customer#000001140	6319.21
Customer#000001143	8655.98
Customer#000001149	6287.79
Customer#000001152	5680.15
Customer#000001164	7341.35
Customer#000001167	9510.87
Customer#000001176	5827.59
Customer#000001182	8814.39
Customer#000001191	9088.54
Customer#000001194	7582.29
Customer#000001197	9261.05
Customer#000001203	5787.69
Customer#000001206	8437.76
Customer#000001212	7736.03
Customer#000001215	7795.87
Customer#000001218	8801.73
Customer#000001224	8124.15
Customer#000001239	6936.72
Customer#000001248	6539.15
Customer#000001251	7267.76
Customer#000001257	8810.83
Customer#000001263	6975.90
Customer#000001272	6865.14
Customer#000001275	8972.46
(200 rows)

Query #4
o_orderkey	o_custkey	o_orderstatus
2	78002	O
36	115252	O
128	73957	F
228	44078	F
324	105155	F
423	103396	O
452	59560	O
550	23524	O
673	79148	F
706	147367	O
934	51295	O
996	70915	O
1056	27494	F
1062	104914	O
1091	82777	O
1249	149620	F
1313	147671	F
1351	105941	O
1798	51518	O
1858	142186	O
1894	74996	F
2663	94012	O
2787	102814	O
2788	123353	F
3237	18148	F
3330	6442	F
3398	66703	O
3424	101206	O
3431	46297	F
3681	51580	F
3938	29617	F
4003	110048	F
4358	23518	O
4420	108965	F
4582	18208	O
5026	27061	O
5058	118945	O
5120	15439	O
5123	9623	O
5440	129038	O
5508	55661	O
5667	43373	O
5732	35117	O
6273	4124	F
6279	110806	F
6466	16900	O
6530	6235	O
6595	88006	F
6624	112927	O
6787	11536	O
6945	68297	F
7012	139442	O
7043	36377	F
7074	112433	F
7139	141877	O
7175	127523	F
7460	39037	O
7781	124843	O
7808	124135	O
7815	33803	F
8032	13264	F
8775	82171	F
8839	92806	F
8865	63268	F
9220	48169	O
9607	64250	O
10016	129487	F
10084	142355	O
10114	106345	F
10118	74035	F
10151	58786	F
10464	23233	F
10753	142903	F
11328	46444	F
11367	41723	F
11552	142051	F
11559	92966	O
11810	64637	F
11942	132259	F
12003	120499	O
12133	35926	F
12192	27556	F
12291	73930	O
12325	97159	F
12416	114889	F
12454	21583	O
12673	6127	F
12870	136567	F
13058	115462	O
13189	9212	F
13574	15077	O
13637	18778	O
13700	106249	F
13766	138610	F
13857	27460	O
14213	47678	F
14305	142660	O
14625	107393	F
14690	93425	O
14724	139562	O
14788	119026	O
14982	146170	F
15013	135853	F
15076	56611	O
15110	139639	F
15203	12868	O
15367	1948	F
15492	98378	F
15526	68134	O
15584	133876	O
15623	34213	F
15649	83177	O
15844	31384	F
16160	58037	O
16226	25381	O
16327	69178	F
16482	60769	F
16484	6541	O
16672	24170	O
16770	88364	F
16964	19625	O
17223	15047	F
17284	140918	F
17510	89462	F
17574	32680	O
17602	38300	F
17607	103792	F
17925	131336	F
18310	132205	F
18341	118198	F
18373	20635	F
18531	36581	F
18721	57731	F
18752	146690	O
18759	107579	O
18915	24928	F
18983	74005	F
19009	98957	F
19202	13778	O
19715	104572	F
20033	3877	F
20609	59797	F
20611	132056	O
20672	115705	F
20935	99547	O
21059	53518	F
21218	15190	O
21348	11672	F
21381	25930	F
22087	45607	F
22179	125251	F
22405	127933	O
22753	27512	F
22919	74744	F
23365	49223	O
23715	71432	O
23810	147635	F
24001	63643	O
24199	97558	F
24261	18037	F
24295	46564	O
24513	136990	O
24583	128644	O
24742	132821	F
25057	31876	O
25344	34192	O
25379	45982	O
25571	85298	F
25700	100894	O
25764	111934	O
25827	89957	O
26369	120703	F
26435	13972	F
26438	50510	O
26467	115717	O
26562	131161	O
26820	84580	F
26917	13990	O
26944	147896	F
27207	1502	O
27332	10798	O
27650	25835	F
27744	74389	F
28096	106564	O
28229	98557	O
28353	23807	F
28356	84019	O
28453	72902	F
28583	136078	F
28609	98192	O
28647	135041	F
28706	104099	F
28800	18325	O
29124	112634	F
29157	35731	O
29184	62614	F
29189	124609	F
29190	126062	O
29251	129505	O
29286	11044	F
(200 rows)

Query #5
p_name	ps_supplycost	l_quantity
chocolate floral drab honeydew azure	143.07	5.00
green cornsilk goldenrod chocolate forest	738.63	9.00
pink beige chocolate seashell yellow	551.24	7.00
blush smoke dark chocolate hot	170.70	29.00
blanched indian sienna chocolate cornflower	467.56	48.00
ghost chocolate sandy red plum	540.98	34.00
spring drab forest grey chocolate	673.57	32.00
medium red chocolate cornsilk purple	460.90	1.00
sandy wheat almond chocolate royal	775.33	2.00
coral sky firebrick chocolate sandy	320.51	33.00
grey dim midnight chocolate powder	124.63	21.00
navy ivory chocolate ghost blue	930.85	37.00
chocolate bisque burnished cream ivory	324.30	50.00
black cornflower chocolate plum royal	451.61	24.00
purple blue lavender chocolate dodger	423.45	24.00
turquoise antique chocolate puff misty	925.54	25.00
wheat chocolate papaya blanched red	547.00	21.00
navajo chocolate firebrick salmon violet	934.30	18.00
orchid mint chocolate saddle frosted	878.62	22.00
magenta peach chocolate bisque aquamarine	911.77	29.00
medium salmon floral chocolate tomato	775.96	29.00
lawn medium chocolate cream tomato	237.90	46.00
ivory chocolate pink plum goldenrod	3.39	49.00
smoke blanched aquamarine chocolate red	343.45	19.00
moccasin lavender light burlywood chocolate	185.32	29.00
khaki burnished bisque deep chocolate	242.06	7.00
turquoise lace chocolate brown purple	742.30	16.00
saddle maroon chocolate dodger cornflower	42.25	5.00
powder wheat chocolate dodger green	484.38	26.00
chocolate honeydew violet navajo cornsilk	639.55	9.00
bisque azure chocolate grey light	686.01	3.00
chocolate burlywood beige maroon powder	884.20	11.00
grey lemon brown chocolate olive	826.62	37.00
cyan orchid frosted chocolate cornsilk	415.64	47.00
chocolate turquoise blue burlywood honeydew	530.68	10.00
dim puff chocolate hot ghost	423.11	3.00
chocolate chartreuse moccasin thistle spring	543.18	22.00
chocolate olive grey linen midnight	999.90	41.00
saddle snow chocolate floral almond	478.59	50.00
red burnished bisque chocolate ivory	53.56	29.00
chiffon powder lavender almond chocolate	931.79	44.00
azure chocolate cyan blanched magenta	601.77	12.00
orchid red dodger drab chocolate	888.79	25.00
burlywood brown chocolate seashell royal	347.81	3.00
chocolate olive lawn navy pink	687.37	14.00
violet chocolate magenta olive cyan	33.12	14.00
misty burnished firebrick chocolate azure	243.51	24.00
khaki yellow chocolate cream blush	80.29	45.00
chocolate smoke deep antique turquoise	121.89	45.00
wheat olive misty beige chocolate	72.54	16.00
spring chocolate lime powder coral	374.68	44.00
light rosy chocolate plum firebrick	204.90	37.00
(52 rows)

Query #6
p_name	p_retailprice	min_supplycost	max_supplycost	avg_supplycost
goldenrod lace spring peru powder	901.00	337.09	993.49	615.02
blush rosy metallic lemon navajo	902.00	306.39	915.27	509.63
dark green antique puff wheat	903.00	191.92	920.92	564.09
chocolate metallic smoke ghost drab	904.00	51.37	591.18	300.22
forest blush chiffon thistle chocolate	905.00	50.52	537.98	266.05
white ivory azure firebrick black	906.00	130.72	642.13	343.11
blue blanched tan indian olive	907.00	68.77	763.98	320.50
ivory khaki cream midnight rosy	908.00	220.62	957.34	586.13
thistle rose moccasin light floral	909.00	84.20	811.84	392.30
floral moccasin royal powder burnished	910.01	164.00	996.12	551.85
chocolate turquoise sandy snow misty	911.01	471.98	894.90	723.87
peru ivory olive powder frosted	912.01	332.81	901.70	557.83
ghost blue olive sky gainsboro	913.01	38.64	862.70	349.49
linen seashell burnished blue gainsboro	914.01	310.13	893.39	685.77
navajo dark sky turquoise royal	915.01	265.89	835.70	586.20
deep brown turquoise dim papaya	916.01	709.16	918.51	824.28
burnished navy orange dodger cream	917.01	64.40	995.35	565.89
spring indian forest khaki midnight	918.01	52.44	664.17	417.88
dodger forest floral cream black	919.01	144.80	635.66	383.27
bisque salmon dark blanched linen	920.02	115.89	675.54	410.98
lemon aquamarine firebrick floral almond	921.02	139.05	944.44	583.21
medium floral beige cornsilk olive	922.02	359.16	786.18	594.60
firebrick bisque slate rose blanched	923.02	51.75	460.12	212.24
saddle dim white honeydew spring	924.02	62.15	905.41	515.20
blush forest magenta metallic turquoise	925.02	694.35	928.96	800.66
lawn forest misty chartreuse snow	926.02	382.11	892.20	695.04
plum drab cornflower brown dim	927.02	151.34	444.01	275.25
green honeydew dim cyan bisque	928.02	204.86	744.57	576.57
aquamarine sky salmon rose burlywood	929.02	186.21	981.33	675.31
blush beige steel cyan navy	930.03	568.86	989.05	721.25
grey ghost steel maroon moccasin	931.03	120.99	849.11	588.15
yellow wheat midnight papaya blue	932.03	109.34	856.09	529.65
maroon beige mint cyan peru	933.03	310.76	929.05	614.62
bisque pink dodger cream goldenrod	934.03	265.31	848.75	637.11
green blue coral antique sandy	935.03	411.17	669.19	517.42
chiffon smoke floral misty navy	936.03	289.15	630.91	481.11
turquoise ivory orange sandy maroon	937.03	15.72	824.96	428.23
seashell floral bisque midnight black	938.03	160.70	847.09	560.16
rose dodger lace peru floral	939.03	300.43	737.86	508.41
rosy midnight floral misty green	940.04	196.64	776.13	478.33
burlywood ghost antique metallic pale	941.04	37.59	916.55	458.63
midnight azure bisque turquoise lawn	942.04	29.46	716.81	413.83
medium khaki chocolate rosy blush	943.04	307.12	805.78	524.94
medium maroon wheat lavender blush	944.04	114.37	833.15	373.69
lemon medium frosted indian linen	945.04	155.32	919.63	621.24
antique peru lemon sandy steel	946.04	14.78	985.88	338.03
sky firebrick red linen dim	947.04	74.54	539.47	300.79
slate thistle indian lace drab	948.04	191.36	668.19	519.22
blue tan cornsilk burlywood beige	949.04	35.11	908.15	617.28
yellow cornflower royal blush almond	950.05	107.17	690.87	416.16
lime forest puff deep firebrick	951.05	85.03	901.04	506.44
lemon lace khaki powder blanched	952.05	54.92	628.53	329.71
grey black dodger sandy puff	953.05	192.78	563.44	342.28
peach smoke yellow pale cornflower	954.05	23.78	798.98	442.13
antique cream pale tomato rose	955.05	130.33	611.04	278.07
midnight goldenrod drab ivory blanched	956.05	52.29	926.25	472.18
purple blue tan goldenrod medium	957.05	123.11	411.08	220.88
linen beige coral dim salmon	958.05	25.09	542.52	382.04
misty blush metallic spring blanched	959.05	45.50	598.55	270.56
sky burnished salmon navajo hot	960.06	92.64	800.72	428.07
drab burnished lime navy slate	961.06	153.74	858.64	604.35
tan ivory aquamarine indian burlywood	962.06	255.78	692.42	479.28
frosted puff hot rose coral	963.06	274.15	509.16	436.46
aquamarine puff papaya hot floral	964.06	25.77	602.65	313.99
